Week Of,Application ID,Event Name,Event Start Date,Event End Date,Event Type,Event Reg Type,Active Users
2016-01-18,36506071-4BF6-4015-AE99-F60B64DAD02E,World Patient Safety Science & Technology Summit,2016-01-22,2016-01-23,Conference (>2:1 session:exhibitor ratio),Open Reg Event,210
2016-01-25,1586D3ED-A856-4E99-AD56-D84D3245CF6F,2016 Annual Legatus Summit,2016-01-28,2016-01-30,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,243
2016-01-25,BBE416A9-C8EC-402E-B7DC-7A6772310443,2016 Annual Meeting,2016-01-25,2016-01-28,Corporate Internal,Closed Reg Event,335
2016-01-25,44C0E219-D0E7-4DE0-B78A-580A350A0238,2016 EIS Supplier Fair,2016-01-30,2016-02-03,Corporate External,Closed Reg Event,351
2016-01-25,5DABB9E6-C0EE-4930-A35D-8F056C540B8D,2016 Global Sales Kickoff,2016-01-31,2016-02-04,Corporate Internal,Closed Reg Event,536
2016-01-25,BE5D6648-1846-4EEA-8075-01F7FD0CFEBA,2016 GSKO,2016-01-25,2016-01-29,Corporate Internal,Closed Reg Event,744
2016-01-25,042E7E18-8205-41C4-80B8-79584250091F,2016 Mobile Sales Force Leaders Conference,2016-01-31,2016-02-03,Corporate Internal,Closed Reg Event,81
2016-01-25,A5F7CA90-15DA-412F-95C8-5BEA27ED6A1E,2016 MSF,2016-01-31,2016-02-03,Corporate Internal,Closed Reg Event,29
2016-01-25,9B45243E-1E1F-41F8-AFE2-CA605AB8EB49,2016 Nationwide Sales Meeting,2016-01-25,2016-01-28,Corporate Internal,Closed Reg Event,1050
2016-01-25,A378FFCD-27E3-489A-A7E2-292D809E827A,2016 Risk & Liquidity,2016-01-27,2016-01-28,Corporate External,Closed Reg Event,105
2016-01-25,C5D9952C-C05D-47CB-8EF1-519BA3BE657A,2016 Sales & Marketing Meeting,2016-01-25,2016-01-29,Corporate Internal,Closed Reg Event,183
2016-01-25,EEEB2B25-51FF-4EE0-AA5C-2A5F5DA4AAC8,2016 UHC National Consultant Forum,2016-01-27,2016-01-28,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,63
2016-01-25,2994C3C4-07D4-4EE4-AE76-0346FFAA3595,Advisor Insight 2016,2016-01-30,2016-02-04,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,722
2016-01-25,35B1DAFF-48C9-4533-8E27-28027E62EB41,ALS - 2016,2016-01-31,2016-02-04,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,194
2016-01-25,BAC70D44-4B3C-4655-8BBB-161EC35BE5E7,Apéritif pour les banques Genève 2016,2016-01-28,2016-01-28,Corporate External,Closed Reg Event,57
2016-01-25,699E8BE0-0D9C-46C6-8F54-52AF6491CD6E,Applied Sales Kickoff 2016,2016-01-25,2016-01-27,Corporate Internal,Closed Reg Event,152
2016-01-25,68E0C0BE-FFAE-41EA-B190-6EF353C59A0B,Arab Health,2016-01-25,2016-01-28,Expo (<2:1 session:exhibitor ratio),Open Reg Event,171
2016-01-25,B12174D2-E2E9-4633-A8D4-51BBEF25C603,Bankenapéro 2016 St. Gallen,2016-01-25,2016-01-25,_Unknown,Closed Reg Event,75
2016-01-25,124C67B7-832A-402E-8682-370229D0A5DD,Bright Horizons - 2016 RM Conference,2016-01-25,2016-01-28,,Open Reg Event,226
2016-01-25,AD400C13-4364-427F-A996-4910082BCD1C,Call Center Week Winter,2016-01-26,2016-01-29,Corporate External,Closed Reg Event,70
2016-01-25,6DDC2184-7687-4F06-8852-31EB12A3A806,Central Florida Emerging Trends,2016-01-28,2016-01-29,Corporate Internal,Closed Reg Event,46
2016-01-25,8CBF4A21-72F0-41BF-9B81-603AEF08EB59,CIO Summit of America,2016-01-26,2016-01-26,Corporate Internal,Closed Reg Event,177
2016-01-25,E75350DB-1409-479F-8F4D-D79580E3714A,City Action Days,2016-01-27,2016-01-28,Conference (>2:1 session:exhibitor ratio),Open Reg Event,143
2016-01-25,2F0C0E8A-2CDD-4626-B7D2-325A9E4DE15B,Comfy Chair,2016-01-25,2016-01-26,Corporate Internal,Closed Reg Event,280
2016-01-25,2791D0F0-35D9-46B2-9D08-1DD6A9B6F585,CORE POWER Leadership Forum,2016-01-25,2016-01-28,Corporate Internal,Closed Reg Event,313
2016-01-25,0541E386-4570-4155-9269-484BC962F3F1,CP Global Legal Meeting,2016-01-31,2016-02-10,Corporate Internal,Closed Reg Event,163
2016-01-25,3A86F0DF-B2B5-4D1E-8C16-05AE3C31F7D6,CRH Management Seminar 2016,2016-01-26,2016-01-28,Corporate Internal,Closed Reg Event,281
2016-01-25,7B2B8812-C929-439D-8F9C-3429AF0A2ADD,Culturati Summit,2016-01-31,2016-02-01,_Unknown,Closed Reg Event,147
2016-01-25,1F42C88F-4B93-4F0C-B396-40930DB2145B,DeRoyal Annual Meeting,2016-01-31,2016-02-04,Corporate Internal,Closed Reg Event,136
2016-01-25,D8FF47E1-0E81-4ADD-A455-5B010BCD089A,EPLS FY16,2016-01-25,2016-01-26,Corporate External,Closed Reg Event,321
2016-01-25,253A17EF-7343-465C-85B8-B107E34648A5,EVP 2016,2016-01-27,2016-01-27,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,111
2016-01-25,EDB7ECE5-F795-4C61-9292-5EE471BE1B3B,Face 2 Face 2016,2016-01-31,2016-02-05,Corporate External,Closed Reg Event,60
2016-01-25,7162FFAB-73B9-49CA-954E-24FD112735A9,GCiNA Leadership Team Meeting,2016-01-25,2016-01-27,Corporate Internal,Closed Reg Event,136
2016-01-25,505CBB27-CC3D-42DB-B2C5-67C7C11D6C6C,Global Sales Kickoff 2016,2016-01-25,2016-01-27,Corporate Internal,Closed Reg Event,3185
2016-01-25,D7B9B116-5E14-47E5-847F-9248BBB969A8,HAVI Strategic Alignment Meeting,2016-01-25,2016-01-29,Corporate Internal,Closed Reg Event,106
2016-01-25,835E1485-558E-4A9F-9F43-78B1F26303DE,Ignite 2016,2016-01-25,2016-01-28,Corporate Internal,Closed Reg Event,963
2016-01-25,8A7375BB-907D-4345-9BB1-A275CE4CF1CB,Imprivata Kickoff 2016,2016-01-25,2016-01-29,Corporate Internal,Closed Reg Event,422
2016-01-25,603F6D13-3DC5-4A7A-88AD-B6760CB298E2,Intel 360 2016,2016-01-31,2016-02-03,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,3941
2016-01-25,87D67A59-49B1-4095-8287-7923E1150DF8,Jump Start 1/25/16,2016-01-25,2016-01-25,Corporate Internal,Closed Reg Event,29
2016-01-25,F0F933C6-E0F2-4912-BD33-478C1B5BAAA1,NextGear Capital: Accelerate 2016,2016-01-30,2016-02-03,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,429
2016-01-25,E7261807-A9C5-422B-8FF4-E72E2E69E9B6,NICSA 2016 Strategic Leadership Forum,2016-01-31,2016-02-02,Corporate Internal,Open Reg Event,209
2016-01-25,CB6FBB72-406A-4597-8AB5-B625A5A4B690,Nimble Storage Sales Kickoff FY17,2016-01-31,2016-02-04,Corporate Internal,Closed Reg Event,525
2016-01-25,D5C091FD-C564-4C70-868E-31F38F62029F,NLC 2016,2016-01-31,2016-02-03,Corporate Internal,Closed Reg Event,316
2016-01-25,5406CDFC-1FB9-4EA3-BB21-CBD3BE1A2DB0,Paul Mitchell Schools Caper 2016,2016-01-31,2016-02-02,Corporate External,Closed Reg Event,2240
2016-01-25,C60F5781-2E71-4152-BF74-F8E9F5A72A73,Pharmacovigilance & Risk Management 2016,2016-01-25,2016-01-27,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,174
2016-01-25,067A0E6C-56A1-4E3A-A753-A018AC970761,ReThink Global,2016-01-26,2016-01-29,Corporate Internal,Closed Reg Event,216
2016-01-25,C3EB9600-3F56-4914-AC77-C89F950BCC6B,SAP S-KOM LAC,2016-01-31,2016-02-02,Corporate External,Closed Reg Event,174
2016-01-25,DF28DE28-1E55-429A-BEFA-382CDC6EC60A,Shaping the Future 2016,2016-01-28,2016-01-29,Conference (>2:1 session:exhibitor ratio),Open Reg Event,302
2016-01-25,AF3EB08B-97EC-42E8-B697-6A8041107E52,SHI Kickoff 2016,2016-01-25,2016-01-27,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,670
2016-01-25,289E01F1-D715-438D-8E29-FB68ED269857,Telit IoT Innovation,2016-01-28,2016-01-28,Corporate Internal,Closed Reg Event,106
2016-01-25,DE65764A-5F90-400D-A91E-C3D0DC750213,Transitions Academy,2016-01-28,2016-02-07,Corporate Internal,Closed Reg Event,416
2016-01-25,6BB9F2B6-7E20-4AAF-8C1D-8AC5F799C5EA,US Wealth Advisory Sales Meeting,2016-01-25,2016-01-28,Corporate Internal,Closed Reg Event,548
2016-01-25,8D2CD6A3-2300-4130-95B2-C37EEFC000A0,Veeva FY17 North America Field Kickoff,2016-01-27,2016-01-29,Corporate Internal,Closed Reg Event,466
2016-01-25,01493548-7A4A-4659-B8D5-36AB69B65EA8,Vision Care National Sales Meeting,2016-01-25,2016-01-29,Corporate External,Closed Reg Event,460
2016-01-25,616A8EB0-3E62-4BD9-BE16-08865F0E9264,VZ Great Lakes KO Chicago South AM,2016-01-28,2016-01-29,Corporate Internal,Closed Reg Event,261
2016-01-25,0119AEC2-45E7-4D74-ADBF-0609982EFB86,VZ Great Lakes KO Chicago South PM,2016-01-28,2016-01-29,Corporate Internal,Closed Reg Event,186
2016-01-25,C166883A-2C8F-4964-9A11-7F988DF04E27,VZ Great Lakes KO Indianapolis AM,2016-01-25,2016-01-26,Corporate Internal,Closed Reg Event,171
2016-01-25,BF16DBC5-3660-4B2B-8DDE-C779475E3F31,VZ Great Lakes KO Indianapolis PM,2016-01-25,2016-01-26,Corporate Internal,Closed Reg Event,213
2016-02-01,CF682152-5873-4E28-AF19-11D354EDB03F,2016 ANA Brand Masters Conference,2016-02-03,2016-02-05,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,176
2016-02-01,69EFD328-8027-42CF-AEBD-0F5EF98D7076,2016 ARD Business National Sales Meeting,2016-02-01,2016-02-05,Corporate Internal,Closed Reg Event,448
2016-02-01,CD4B564F-2D58-4446-A372-94BF8A299E7A,2016 CASE Winter Leadership Conference,2016-02-03,2016-02-05,Conference (>2:1 session:exhibitor ratio),Open Reg Event,402
2016-02-01,ACB102D3-CEEC-4AA0-9D16-B79839ECD9A1,2016 Continuing Education Conference,2016-02-04,2016-02-06,Conference (>2:1 session:exhibitor ratio),Open Reg Event,1012
2016-02-01,211AC7D5-8886-48C9-A677-F5FCBBB1CAF7,2016 National Pharmaceutical Meeting,2016-02-01,2016-02-05,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,572
2016-02-01,EB15D219-A6C2-4F02-855A-682F3CF5BF23,2016 North America NB Store Managers Meeting,2016-02-01,2016-02-04,Corporate Internal,Closed Reg Event,106
2016-02-01,F54352A7-489D-4E4F-B0F9-E2D986439627,2016 TransUnion Sales Meeting,2016-02-01,2016-02-04,Corporate Internal,Closed Reg Event,459
2016-02-01,D6B42311-F1E3-4D13-A965-F2810BA2EB33,Accelerate 2016,2016-02-07,2016-02-12,Corporate Internal,Closed Reg Event,832
2016-02-01,B7A84B13-4728-4A9E-B84F-C692A5A772C6,Acura TravelHQ,2016-02-01,2016-02-03,Corporate Internal,Closed Reg Event,1
2016-02-01,8FDD3E18-68DB-4AC8-B1ED-52A21FBAB701,Addiction Professional,2016-02-04,2016-02-05,Corporate External,Closed Reg Event,63
2016-02-01,2CDB27D4-DB96-4397-8632-EF9557D048D8,Annual Leadership Conference 2016,2016-02-04,2016-02-04,Corporate Internal,Closed Reg Event,330
2016-02-01,E159302A-E45C-4045-9EF7-43056BE0F092,Branded Content Event 2016,2016-02-04,2016-02-04,_Unknown,Closed Reg Event,164
2016-02-01,19613FA8-E4A0-4927-BE59-AF89989153AE,C4L - Together We Win,2016-02-07,2016-02-09,Corporate Internal,Closed Reg Event,430
2016-02-01,8566BA08-F3D2-40EC-B548-3EEFC67824A0,CIT Europe 2016,2016-02-01,2016-02-03,Corporate Internal,Closed Reg Event,281
2016-02-01,7FC9D666-7FFA-4908-8DFC-752C36C6993C,CMB Leadership Academy - Week 1,2016-02-07,2016-02-12,Corporate Internal,Closed Reg Event,468
2016-02-01,420F1562-E980-42C2-8AB0-3907CA9C3670,College Art Association 2016 Conference,2016-02-03,2016-02-06,Conference (>2:1 session:exhibitor ratio),Open Reg Event,1479
2016-02-01,FC703200-0EFC-4167-8577-FB513D2DC59A,Connect by Search Engine Watch,2016-02-04,2016-02-05,Corporate External,Closed Reg Event,258
2016-02-01,28D75A87-3320-4B03-90F7-C19C7B30B1CA,European Pensions Symposium 2016,2016-02-03,2016-02-05,Corporate External,Closed Reg Event,150
2016-02-01,B6BB9725-FE9A-4F5A-BBA1-25F1100BFAC1,GE Supply Chain Forum,2016-02-01,2016-02-04,Corporate Internal,Open Reg Event,204
2016-02-01,6BC12716-BC7E-4F1E-B05E-A70110A5D029,GNP Kick-off 2016,2016-02-07,2016-02-09,Corporate Internal,Closed Reg Event,104
2016-02-01,0AB75F69-1D6F-4A3E-8556-7F42257DDA22,GOED Exchange 2016,2016-02-02,2016-02-04,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,151
2016-02-01,0296F1DB-0505-4F01-B51C-BE7FCF94D34B,GPM 2016,2016-02-04,2016-02-05,Corporate Internal,Closed Reg Event,310
2016-02-01,9E59DA43-5A40-48F5-90B5-C32880763609,Grainger Show 2016,2016-02-07,2016-02-12,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,6321
2016-02-01,A9E60982-EDB8-4782-B62B-C5877993D0F4,Health Action 2016,2016-02-04,2016-02-05,Conference (>2:1 session:exhibitor ratio),Open Reg Event,240
2016-02-01,04D7D87C-02C1-406D-8DF4-68321C55BBDC,ICE 2016,2016-02-02,2016-02-04,Conference (>2:1 session:exhibitor ratio),Open Reg Event,3755
2016-02-01,6D58B5FA-00B7-4C6B-BCDE-4699E72487DD,Innovation Outreach Program-Los Angeles 2016,2016-02-01,2016-02-03,Corporate External,Closed Reg Event,16
2016-02-01,145DA65F-569E-41BC-904A-422C3E648254,Interagency Community Reinvestment Conference,2016-02-07,2016-02-10,Corporate Internal,Closed Reg Event,809
2016-02-01,92C28356-457B-4A58-B617-BF247E0D2508,Jump Start 2/1/16,2016-02-01,2016-02-01,Corporate Internal,Closed Reg Event,135
2016-02-01,97BC42C2-9898-4997-9333-44E291A4E6A5,LEAD2016,2016-02-03,2016-02-05,Corporate External,Open Reg Event,258
2016-02-01,0B476384-1F4B-4B3E-B17C-376152C7A7E2,Legaltech,2016-02-02,2016-02-04,Conference (>2:1 session:exhibitor ratio),Open Reg Event,1782
2016-02-01,73DF2900-A3AB-4CBB-A170-9FDCC0FD26DE,Life of a Transformer Seminar,2016-02-01,2016-02-05,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,280
2016-02-01,EFC8A4D2-9E04-4189-A005-B1A37D848546,London Affiliate Conference 2016,2016-02-04,2016-02-07,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,685
2016-02-01,D0639C41-8A94-43D8-9313-073CDDF9CBC6,MCS All Hands 2016,2016-02-07,2016-02-12,Corporate Internal,Closed Reg Event,168
2016-02-01,C44DFDFF-409F-48F0-A9E4-2DB87A6F6612,MEOPeer 2016,2016-02-01,2016-02-04,_Unknown,Closed Reg Event,83
2016-02-01,CD97E93D-FBDF-41A4-B7F5-66A7EA0EC825,MKOM 2016,2016-02-02,2016-02-04,Corporate External,Closed Reg Event,367
2016-02-01,57D98504-AB43-4E0D-AAA6-14EDE30102B9,NEMRA16,2016-02-03,2016-02-06,Conference (>2:1 session:exhibitor ratio),Open Reg Event,365
2016-02-01,805E7D4C-C6A2-4F89-A9F2-8D57384EC28B,NET2016,2016-02-02,2016-02-04,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,369
2016-02-01,DA305CB2-CDD2-409F-AD81-2B7E05DCF22A,New Horizons in Responsible Gambling,2016-02-01,2016-02-01,Conference (>2:1 session:exhibitor ratio),Open Reg Event,153
2016-02-01,F13D9631-7F27-4C80-9166-44AC202D48A0,NSSM 2016,2016-02-07,2016-02-12,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,3480
2016-02-01,E921D8EC-99DF-4C2B-82BE-09A5E4087D76,Phoenix CIO Executive Leadership Summit,2016-02-04,2016-02-04,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,97
2016-02-01,4A259FF0-0A47-4FCA-96DE-25DA1B38B186,Plex 2016 GTM Kick-off,2016-02-03,2016-02-04,Corporate Internal,Closed Reg Event,187
2016-02-01,BE134D64-5F41-49D6-864C-C97264D6C817,PNW Winter Congress,2016-02-06,2016-02-07,_Unknown,Closed Reg Event,285
2016-02-01,946447D4-24B6-400E-8559-3EF9C8399B51,Policy Institute 2016,2016-02-01,2016-02-04,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,260
2016-02-01,D26FBDA3-E541-4A9F-81D4-95A3F8165D98,Praluent® Global Affiliate Meeting,2016-02-02,2016-02-03,Corporate Internal,Closed Reg Event,166
2016-02-01,108F53DB-CB70-4B8E-8307-2437C88FFD87,PwC's Themenabend Banken  Zürich 2016,2016-02-02,2016-02-02,Corporate Internal,Closed Reg Event,89
2016-02-01,95781088-245C-4262-BB58-FD332FDB44BF,Rural Health Care Leadership Conference 2016,2016-02-07,2016-02-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,474
2016-02-01,9CDC8AB9-9494-45AB-9B8D-9985D216DA95,SAP S-KOM EMEA,2016-02-03,2016-02-05,Corporate External,Closed Reg Event,956
2016-02-01,6ACADEE1-A747-4E1E-A9D0-E0F3A63C71F3,SeaWeb Seafood Summit,2016-02-01,2016-02-03,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,262
2016-02-01,A0D403D9-2FBD-49D5-9578-2457E95207BE,Skadden Summer,2016-02-04,2016-02-06,Corporate Internal,Closed Reg Event,95
2016-02-01,E60DA27C-57A3-46D2-985C-08A4C3B7300C,SLC 2016 – San Diego 1,2016-02-01,2016-02-03,Corporate Internal,Closed Reg Event,329
2016-02-01,62A297AB-6278-42B2-B993-1BD1B7D42855,SLC 2016 – San Diego 2,2016-02-03,2016-02-05,Corporate Internal,Closed Reg Event,240
2016-02-01,C1A56323-7824-4F38-A791-0E1E0B27EA2F,SLM 2016,2016-02-03,2016-02-05,Corporate Internal,Closed Reg Event,322
2016-02-01,62B026D9-2CBC-4C2E-B5F4-5D34094C92CF,Surgical Workflows and Infection Control NSM 2016,2016-02-01,2016-02-05,Corporate Internal,Closed Reg Event,221
2016-02-01,D7437E31-2DAB-44E6-9F30-6A886E4F0921,The 2016 MAKERS Conference,2016-02-01,2016-02-03,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,177
2016-02-01,4FDF207F-B052-450C-991B-063B6A5A37F4,UKGI Year Start,2016-02-01,2016-02-03,Corporate Internal,Closed Reg Event,548
2016-02-01,A3FA4699-448C-4B88-AEC6-85708FCFC761,ULI Europe Conference 2016,2016-02-02,2016-02-03,Corporate Internal,Closed Reg Event,178
2016-02-01,52884BC5-8BC6-4BAA-B31A-79F6390BAC89,Wright National Sales Meeting App,2016-02-04,2016-02-07,Corporate Internal,Closed Reg Event,564
2016-02-08,2D7EA6A2-5FFA-4F8D-B5DB-293524E6077D,15th Annual Petcoke Conference,2016-02-12,2016-02-13,Corporate External,Closed Reg Event,95
2016-02-08,14A499E9-E849-4AF5-8BB4-34923E30D140,2016 AmeriQuest Symposium,2016-02-10,2016-02-12,Corporate Internal,Closed Reg Event,204
2016-02-08,B72D475B-ACC7-417B-A230-89047C8E346E,2016 CURT National Conference,2016-02-08,2016-02-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,400
2016-02-08,06F21013-A0F9-4C03-A1C9-4797433867E0,2016 Fifth Third Securities Sales Conference,2016-02-11,2016-02-13,Corporate Internal,Closed Reg Event,269
2016-02-08,84B7BD38-A5D1-47DE-94D4-3265684E2047,2016 GSF Partners' Meeting,2016-02-14,2016-02-16,Corporate Internal,Closed Reg Event,150
2016-02-08,30407594-EB14-4F57-8950-A9936436AA41,2016 SA Summit -Digital Disruption,2016-02-09,2016-02-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,66
2016-02-08,309CE63A-C21F-46D5-9B78-93B03D573CCA,2016 UnitedHealthcare Q1 NAC,2016-02-10,2016-02-12,Corporate Internal,Closed Reg Event,78
2016-02-08,337CAE09-60A2-4E3D-9A0B-741B1A80A6F9,ABA National Conference for Community Bankers,2016-02-14,2016-02-17,Corporate External,Closed Reg Event,447
2016-02-08,9CD73694-6CBA-43F0-973C-5BC80DA30F66,AD Winter Meeting 2016,2016-02-09,2016-02-11,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,63
2016-02-08,047CAAB0-1C3D-49D9-8E10-00472F7E96E2,Agribusiness Showcase and Conference,2016-02-09,2016-02-10,Conference (>2:1 session:exhibitor ratio),Open Reg Event,189
2016-02-08,F40C6F67-7F5E-499E-8A31-7452AE625343,AII Senior Delegates Roundtable 2016,2016-02-10,2016-02-12,Corporate External,Closed Reg Event,114
2016-02-08,E8FE2A1C-8527-4E98-952E-E6636D3B901D,Anaplan Unleash16,2016-02-09,2016-02-12,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,561
2016-02-08,86E42E11-6B6D-4472-BAA4-CBCA70573550,BFS GLOBAL COUNTRY LEADS MEETING,2016-02-09,2016-02-11,Corporate Internal,Closed Reg Event,51
2016-02-08,E0088F64-BC8F-44C5-9E00-ED83281AC84A,BOSTON 2016 ACDAEast,2016-02-10,2016-02-13,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,915
2016-02-08,10952B88-1763-41A5-A782-2E83AD1D2422,BT Events 2016,2016-02-13,2016-02-29,Conference (>2:1 session:exhibitor ratio),Open Reg Event,270
2016-02-08,6D85CED6-A5BC-4E9D-98D9-CEE9218FA1A9,CED Houston 2016,2016-02-13,2016-02-13,Conference (>2:1 session:exhibitor ratio),Open Reg Event,404
2016-02-08,2BEE6822-140E-43BA-B5C3-51F5FDCDF050,CIT MENA/SSA 2016,2016-02-14,2016-02-17,Corporate Internal,Closed Reg Event,340
2016-02-08,0031261E-2C89-497F-A836-32EB6B20988D,CRH Development Forum 2016,2016-02-09,2016-02-11,Corporate Internal,Closed Reg Event,130
2016-02-08,BA6B3693-1E01-417B-887B-413C5B121C53,Customer Experience Elevated '16,2016-02-09,2016-02-12,Corporate Internal,Open Reg Event,400
2016-02-08,CAE7126A-1FFE-4981-BDF2-604890413A5E,DX16,2016-02-08,2016-02-10,Corporate External,Closed Reg Event,402
2016-02-08,4AF5307B-B6E1-48E9-BD1C-45BBAF965061,Dynacare Events,2016-02-08,2016-02-09,Corporate Internal,Closed Reg Event,223
2016-02-08,2B505BBE-B0FB-44FF-A931-228E4BAF5750,Family Reunion 2016,2016-02-13,2016-02-16,Corporate External,Open Reg Event,6339
2016-02-08,E08F969C-566A-4795-9945-053B7B78C878,Global Publishing Meeting 2016,2016-02-09,2016-02-11,Corporate Internal,Closed Reg Event,359
2016-02-08,8DFCCF56-9131-45FA-9419-3F058CB5422F,HCAA Executive Forum 2016,2016-02-09,2016-02-11,Conference (>2:1 session:exhibitor ratio),Open Reg Event,100
2016-02-08,8A96726A-FAF4-4220-9D81-52609945F16F,InfoFest Edge 2016,2016-02-10,2016-02-11,Corporate Internal,Closed Reg Event,1204
2016-02-08,B07D35ED-6B11-4BFA-9A5A-81476753F8EF,ISM Diversity 2016,2016-02-11,2016-02-12,Conference (>2:1 session:exhibitor ratio),Open Reg Event,41
2016-02-08,42D0D300-34B1-4132-94BE-84F0F6C8859E,Jump Start 2/8/16,2016-02-08,2016-02-08,_Unknown,Closed Reg Event,21
2016-02-08,31065D35-F61C-4102-BCA2-6857499B5DAF,LX 2016,2016-02-08,2016-02-10,Corporate Internal,Closed Reg Event,149
2016-02-08,686744D3-B9AF-4DCD-A0EF-340A20BCEEBA,MidSoHio Winter Congress,2016-02-12,2016-02-14,_Unknown,Closed Reg Event,613
