Week Of,Application ID,Event Name,Event Start Date,Event End Date,Users,Active Users,Adoption %
2016-02-08,CAE7126A-1FFE-4981-BDF2-604890413A5E,DX16,2016-02-08,2016-02-10,517,402,0.77756286266924564797
2016-02-08,4AF5307B-B6E1-48E9-BD1C-45BBAF965061,Dynacare Events,2016-02-08,2016-02-09,263,223,0.83650190114068441065
2016-02-08,E08F969C-566A-4795-9945-053B7B78C878,Global Publishing Meeting 2016,2016-02-09,2016-02-11,397,359,0.87657430730478589421
2016-02-08,8A96726A-FAF4-4220-9D81-52609945F16F,InfoFest Edge 2016,2016-02-10,2016-02-11,6556,1204,0.18288590604026845638
2016-02-08,42D0D300-34B1-4132-94BE-84F0F6C8859E,Jump Start 2/8/16,2016-02-08,2016-02-08,36,21,0.58333333333333333333
2016-02-08,31065D35-F61C-4102-BCA2-6857499B5DAF,LX 2016,2016-02-08,2016-02-10,147,149,0.95238095238095238095
2016-02-08,686744D3-B9AF-4DCD-A0EF-340A20BCEEBA,MidSoHio Winter Congress,2016-02-12,2016-02-14,816,613,0.75122549019607843137
2016-02-08,BEA35425-596A-456E-874F-B8DE091670E9,OERS-CORE,2016-02-09,2016-02-11,515,265,0.51262135922330097087
2016-02-08,14A7F265-11EC-4D06-BE23-6271E7F3C8F0,One JJMI NSTM 2016,2016-02-11,2016-02-13,786,514,0.65267175572519083969
2016-02-08,AC105DAA-9542-4225-985D-C486C5557A67,ProQuest Global Sales Meeting,2016-02-12,2016-02-13,366,346,0.93442622950819672131
2016-02-08,C755DE39-D934-4B19-A508-5350E2D9E109,RSIDM 2016,2016-02-08,2016-02-10,446,267,0.59641255605381165919
2016-02-08,8345B065-3CC6-469E-AE3C-BD74E7E819F9,Senior Leadership Meeting,2016-02-10,2016-02-11,77,53,0.66233766233766233766
2016-02-08,83F53AD1-9668-42D7-BB20-765E6ACB5763,SLC 2016 – Tacoma,2016-02-09,2016-02-09,158,68,0.43037974683544303797
2016-02-08,EA3AE310-2235-4EBF-9816-5C2E866D38D5,Solutions Summit 2016,2016-02-08,2016-02-13,229,290,0.82096069868995633188
2016-02-08,7150F552-8BCC-4F3F-8DF0-7ECF747C3A10,TechMecca 2016,2016-02-11,2016-02-12,233,163,0.69957081545064377682
2016-02-08,3107479D-E21B-4FE5-9FBC-81C0CCFB2851,TUG Connects 2016,2016-02-14,2016-02-17,644,641,0.65838509316770186335
2016-02-08,795C9A03-4E8D-468E-9D36-8F50264A987F,Veeva FY17 European Field Kickoff,2016-02-10,2016-02-12,285,263,0.92280701754385964912
2016-02-08,900F02B6-0A74-4B86-B48C-20866A0DE53F,Visions,2016-02-08,2016-02-11,126,254,0.98412698412698412698
2016-02-08,B38643CB-0F84-4349-9213-B2A622599430,Women in Advisory: RIA Leadership Summit,2016-02-10,2016-02-11,22,20,0.90909090909090909091
2016-02-15,0718CB5C-14D5-4235-AD0E-7AFC929B01FD,2016 Evolving Fiduciary Obligations / Ins Inv,2016-02-16,2016-02-16,85,53,0.57647058823529411765
2016-02-15,71D7A2A3-1FE1-44AF-9996-3C399323A3B6,2016 Firm Retreat,2016-02-18,2016-02-20,563,307,0.54174067495559502664
2016-02-15,74BF2D73-FD42-47B2-A11A-620548EBF3AE,2016 Honda Classic,2016-02-20,2016-02-25,27,26,0.92592592592592592593
2016-02-15,2DFDECA1-4162-4B5A-94CE-061AE70FEEA5,2016 Management Meeting,2016-02-21,2016-02-24,116,107,0.91379310344827586207
2016-02-15,9B9844F8-92F2-4BCD-8403-D507589E1675,2016 National Advisors Conference,2016-02-21,2016-02-24,249,142,0.54618473895582329317
2016-02-15,71782ED7-0011-4F68-9D6C-E2E3C7FD3C58,ADAPT,2016-02-21,2016-02-23,110,88,0.80000000000000000000
2016-02-15,B990434A-55EE-4903-8146-80CAE529318D,Asurion Sales Kick Off 2016,2016-02-15,2016-02-18,380,329,0.86578947368421052632
2016-02-15,AD988CA5-1F90-4325-8241-BCBA1E9212FA,Baskin-Robbins Australia National Conference 2016,2016-02-16,2016-02-17,60,42,0.70000000000000000000
2016-02-15,BF0B63F8-2C55-4A38-A810-7C1255600808,Big Understanding,2016-02-17,2016-02-18,130,109,0.83076923076923076923
2016-02-15,4BDD9D21-11E9-479D-B1ED-7AE5F3174B00,Charlotte CIO Executive Leadership Summit,2016-02-16,2016-02-16,119,47,0.39495798319327731092
2016-02-15,EE4D5E77-A633-42E3-BFAB-E7334FEC4834,Chief Investment Officers Symposium 2016,2016-02-17,2016-02-19,111,102,0.91891891891891891892
2016-02-15,B544221B-18FA-4699-A615-4AD9EFFD5A30,Cloudera FY'17 Sales Kickoff,2016-02-20,2016-02-26,696,555,0.79597701149425287356
2016-02-15,671D27D8-BC8A-47D5-927E-68F2B6905651,CMB Leadership Academy - Week 2,2016-02-15,2016-02-19,508,457,0.89566929133858267717
2016-02-15,D493E271-717A-429C-B6E4-BBC03BB89F23,Emery Sapp & Sons,2016-02-17,2016-02-19,516,329,0.63178294573643410853
2016-02-15,E654715D-4C75-46F6-A4A6-1DA2C8F51B5D,Equipment Management Conference & Exhibition 2016,2016-02-21,2016-02-23,359,190,0.52924791086350974930
2016-02-15,F6A3F001-57E8-4ADE-9CAB-722EB5BBA1D5,Full Throttle 2/16/16,2016-02-16,2016-02-16,745,462,0.62013422818791946309
2016-02-15,C48F4AD2-449B-4EC0-8716-7CA937087E2E,Global Sales Meeting 2016,2016-02-15,2016-02-18,886,870,0.96726862302483069977
2016-02-15,645106AC-4D15-499E-918C-477BFF40DA8F,Governmental Affairs Conference,2016-02-21,2016-02-25,4069,2180,0.53575817154091914475
2016-02-15,CE7263A0-9976-4A70-A638-AD6875B68509,Graz You Wish,2016-02-19,2016-02-21,102,70,0.66666666666666666667
2016-02-15,7ABD2EA3-E873-4C8B-ADC3-0FD7E992FA15,HouseCalls Summit 2016,2016-02-21,2016-02-27,1232,1084,0.87905844155844155844
2016-02-15,EA14D7B6-CEA7-4FC8-8AB9-EE090D0930A7,J&J Demo,2016-02-15,2016-02-29,42,96,0.61904761904761904762
2016-02-15,7B222E87-EA1F-49A7-B9E6-9AC222636DD4,Jump Start 2/15/16,2016-02-15,2016-02-15,48,29,0.60416666666666666667
2016-02-15,59155DA8-1F5B-46C6-AF5D-B73BE02FFBBB,MAS/Texas Winter Congress,2016-02-19,2016-02-21,1370,788,0.56569343065693430657
2016-02-15,490495C1-E347-47BF-8FCD-24F4A3819677,Mentor Graphics Sales Kickoff FY 2017,2016-02-15,2016-02-17,1383,1162,0.83875632682574114244
2016-02-15,4696E77F-AA28-477B-93E8-9F0D9B14BDA5,Molson Coors GLC 2016,2016-02-16,2016-02-18,164,130,0.78658536585365853659
2016-02-15,359077ED-6562-4D46-B60E-4F90780BA5EB,NERO 2016 Sales Kick Off,2016-02-18,2016-02-19,443,184,0.40857787810383747178
2016-02-15,6508FFAB-568D-4193-95D4-AD83A35B39AF,NFL Scouting Combine,2016-02-21,2016-02-28,850,272,0.32000000000000000000
2016-02-15,E5C8D0D5-B111-476D-8BFF-5FB3F6D189A2,NorCal Winter Congress,2016-02-19,2016-02-21,407,292,0.71744471744471744472
2016-02-15,9176830A-D043-4114-A857-753E0409588D,RIE 2016 ZindaDilli,2016-02-18,2016-02-21,757,670,0.84015852047556142668
2016-02-15,38183E67-D8D5-4B2A-A0EF-9C4856DE60B0,Routes Americas 2016,2016-02-17,2016-02-19,660,321,0.48030303030303030303
2016-02-15,9222CA6A-AEC2-4BA3-86F7-73B777E2FD32,SLC 2016 – Atlanta,2016-02-15,2016-02-17,379,304,0.80211081794195250660
2016-02-15,8FFA1446-04AE-4240-977D-BA74E7E61D0E,SoCal Winter Congress,2016-02-20,2016-02-21,865,640,0.73988439306358381503
2016-02-15,B621BDE1-8B0E-44B0-87B5-BCF3A6737190,Splunk FY'17 Global Partners Summit,2016-02-21,2016-02-23,592,282,0.46790540540540540541
2016-02-15,F615446D-B55A-4B36-9E5E-1C3225E7D682,Splunk FY'17 SKO,2016-02-21,2016-02-25,1435,1341,0.92891986062717770035
2016-02-15,52960E06-2A97-4A09-BC6C-0FA7FF0FBB60,Stream India 2016,2016-02-17,2016-02-20,302,157,0.51324503311258278146
2016-02-15,5D8B5B83-B102-4A3B-B57E-9A99EE509417,Winshuttle User Group Conference 2016,2016-02-16,2016-02-19,369,299,0.80758807588075880759
2016-02-15,98963E7F-8D28-4A22-82EF-F2C542384D6B,Wolters Kluwer Tax & Accounting Sales Kickoff,2016-02-17,2016-02-19,403,374,0.92803970223325062035
2016-02-22,7CB9EFB7-32D7-43EB-AD19-6261EC05EFB2,2016 CIO Management Roundtable,2016-02-25,2016-02-26,63,45,0.71428571428571428571
2016-02-22,7166DEB3-0C60-4063-88A0-979BB67DCA5F,2016 Convenience Retailing University,2016-02-22,2016-02-26,484,195,0.39876033057851239669
2016-02-22,628301AE-999F-4453-A140-43C3F9B7FDA8,2016 Global Real Assets Investment Forum,2016-02-24,2016-02-25,137,83,0.60583941605839416058
2016-02-22,31C58CDC-2FDD-4860-9251-F51422300185,2016 Healthcare Conference,2016-02-23,2016-02-24,1334,70,0.05247376311844077961
2016-02-22,C567DFB4-B221-4299-AC21-629CC4ED7C47,2016 IT Leaders Summit,2016-02-22,2016-02-24,354,310,0.87570621468926553672
2016-02-22,9C4F3610-827E-4E04-95D3-83E6A518489A,2016 Leadership Conference,2016-02-22,2016-02-24,332,313,0.92469879518072289157
2016-02-22,B120AE83-39C1-4876-9E34-6711E3B1EFBF,2016 Legal Forum WInter Roundtable,2016-02-23,2016-02-24,54,46,0.85185185185185185185
2016-02-22,37E22B3D-62F6-43F5-A814-A1AB141439D2,2016 Middle East Gov Funds RT,2016-02-23,2016-02-24,113,84,0.73451327433628318584
2016-02-22,104E428B-C0B8-41CD-A35A-00294F369FBE,2016 North American Rental Summit,2016-02-23,2016-02-25,333,201,0.58558558558558558559
2016-02-22,17A738B4-4CF5-4876-ACD7-12E6B4D6B330,2016 Procurement Leaders Conference,2016-02-22,2016-02-26,115,97,0.84347826086956521739
2016-02-22,66F5F2B3-E4D2-42E8-9FDC-2469DFD4B341,2016 Winter Roundtable in Los Angeles,2016-02-24,2016-02-26,159,110,0.66666666666666666667
2016-02-22,08C7FB6F-FB1F-457F-AD42-F944090D92E2,2016 Wrigley Sales Conference,2016-02-23,2016-02-26,160,143,0.89375000000000000000
2016-02-22,1145A581-CD93-4F85-B45C-8EEE29AB1D55,ABA Wealth Management and Trust Conference,2016-02-28,2016-03-01,607,403,0.65074135090609555189
2016-02-22,E0EAD28B-FCED-44B3-A1A6-60B92D499D29,ABS Vegas 2016,2016-02-28,2016-03-02,6382,1294,0.20260106549670949546
2016-02-22,A5A86CBB-EE3C-4C5A-A8D2-A70B63A8341C,AC2016,2016-02-28,2016-03-01,468,507,0.95726495726495726496
2016-02-22,0A90BBDF-16A2-45B7-B7B5-9CE46CC2E659,Bank Operations & Management Summit,2016-02-23,2016-02-24,203,133,0.64532019704433497537
2016-02-22,24A6C651-5B84-4726-BBCE-DFB0D5E0BF5F,Blackwoods 2016 Sales Conference,2016-02-23,2016-02-25,288,252,0.87500000000000000000
2016-02-22,8C1CFD10-1759-4629-BBDE-683BA2BB07FD,CalABA 34th Annual Conference,2016-02-26,2016-02-28,2123,1848,0.86764013188883655205
2016-02-22,7E82FA29-B707-42DA-88D6-979F702FEF95,CIS Annual Conference,2016-02-24,2016-02-26,490,201,0.40612244897959183673
2016-02-22,72F0930F-5D96-4666-B508-52C381EFA82B,CIT Asia/China/India 2016,2016-02-28,2016-03-02,709,523,0.73624823695345557123
2016-02-22,56846327-39E3-44E2-80DF-A0668FAA1F1A,D&I Conference 2016,2016-02-24,2016-02-26,199,195,0.88944723618090452261
2016-02-22,24F8B74A-E2B6-4E14-BA9D-675895A89E5A,Distribution Conference,2016-02-24,2016-02-26,438,320,0.68493150684931506849
2016-02-22,7972531A-96A4-42CD-8114-B9F24544575C,EDGE User Conference 2016,2016-02-25,2016-02-27,652,606,0.86963190184049079755
2016-02-22,ECC12C4D-E485-423B-A4A3-5175B8450013,Factor Investing Symposium,2016-02-24,2016-02-24,130,62,0.46153846153846153846
2016-02-22,3D6E0C08-9982-4299-BE34-80B26F398AF4,Focus 2016,2016-02-24,2016-02-26,654,547,0.83486238532110091743
2016-02-22,92ACAEFE-4DD6-4F0D-8B84-08BEA900E011,GILA 2016 - MAKE IT HAPPEN,2016-02-22,2016-02-26,328,286,0.86585365853658536585
2016-02-22,017843A4-D9DB-4906-A18E-171AEFC8E9AA,GM/Chef Conference 2016,2016-02-22,2016-02-25,345,307,0.88405797101449275362
2016-02-22,E67409E7-132C-4CDF-862E-76DF1A987E4C,Hackathon 3.0,2016-02-22,2016-02-28,1390,442,0.31726618705035971223
2016-02-22,5137580C-FCCB-4C68-AEDB-6F46F9C0E395,HBS Africa Business Conference 2016,2016-02-26,2016-02-28,1365,989,0.72087912087912087912
2016-02-22,6EC1C883-B02E-4845-8CA0-59622B8B440C,Integrative Healthcare Symposium,2016-02-24,2016-02-27,1800,602,0.33444444444444444444
2016-02-22,B8EC056B-FCE7-4D7A-88AB-34E3A1C4785E,Jump Start 2/22/16,2016-02-22,2016-02-22,68,29,0.42647058823529411765
2016-02-22,05711853-1FE3-427F-8B69-1DEFDE109C88,Kickoff BMS 2016,2016-02-22,2016-02-26,323,205,0.63467492260061919505
2016-02-22,30F58AEC-E6D3-4547-8D3A-B0F8B30D98BD,KI Pocket Agenda,2016-02-25,2016-02-28,321,231,0.71962616822429906542
2016-02-22,6B2AA8DF-CA1F-4ED7-898E-DE0912E63121,Leadership Forum,2016-02-23,2016-02-24,338,254,0.75147928994082840237
2016-02-22,6CA8303E-5C9A-4408-8F38-1D94EE2DB554,Learning Consortium Conference 2016,2016-02-22,2016-02-25,402,121,0.30099502487562189055
2016-02-22,FFC12308-8D90-4086-A698-2EB32A1C88DA,Make the 5HIFT,2016-02-28,2016-03-02,397,374,0.94206549118387909320
2016-02-22,B66F4E9A-B0B4-405B-898F-F32A43BC59E1,Manning Centre Conference 2016,2016-02-25,2016-02-27,583,247,0.41680960548885077187
2016-02-22,52C5EF32-8B32-4734-9FD1-4A9C2F3491DE,Media360Summit,2016-02-25,2016-02-25,336,150,0.42857142857142857143
2016-02-22,88D69D55-3252-4833-BA62-34B6A2EC7F33,NES Winter Congress,2016-02-26,2016-02-28,680,507,0.74117647058823529412
2016-02-22,7EF06E7F-7A36-4CBD-8BAE-7C36AC0D73A0,Never Settle – POA1,2016-02-22,2016-02-24,621,459,0.68115942028985507246
2016-02-22,976AC8EF-5334-4178-9266-9E92FBD53FA6,NFS Awards 2016,2016-02-28,2016-03-02,256,185,0.71875000000000000000
2016-02-22,511210CE-DEA7-4D0B-97FD-58CA98149A2E,Nielsen U.S. Media Sales Summit,2016-02-22,2016-02-25,355,320,0.89577464788732394366
2016-02-22,839F94E8-BBFA-4AF0-AD34-C4FE9C0CF624,OpenText Innovation Tour 2016,2016-02-23,2016-02-25,466,127,0.27038626609442060086
2016-02-22,8E1FC491-A884-4EF3-B3A2-FB6C7DA3B6EE,OpenText Innovation Tour 2016 - Tokyo,2016-02-25,2016-02-25,332,28,0.08433734939759036145
2016-02-22,5FE8B7CC-7913-4A4A-89F8-B7E3D9FA4BAE,Parking Industry Exhibition 2016,2016-02-28,2016-03-02,918,310,0.33442265795206971678
2016-02-22,DDCD4E8D-B0EE-4042-924E-C40C2C765ECE,Proclaim 16,2016-02-22,2016-02-26,4382,818,0.18644454586946599726
2016-02-22,18206FF0-1889-479B-B098-32A55C46AC15,Retail Excellence Summit,2016-02-22,2016-02-25,243,250,0.99176954732510288066
2016-02-22,3BDF0850-37DB-4F09-9AD4-E4CCDD898884,SLC 2016 – Chicago,2016-02-24,2016-02-26,411,272,0.66180048661800486618
2016-02-22,657EE11B-31B0-43D6-BF0A-13854258AA1D,UK Customer Advisory Board 2016,2016-02-23,2016-02-28,76,60,0.73684210526315789474
2016-02-22,30C15E69-635C-4F73-A197-0AC8D5076FE5,Workshop at ABB,2016-02-25,2016-02-25,203,154,0.75369458128078817734
2016-02-29,D81E33BB-8514-4358-BE2F-71F6D73BDCCB,Annual Leadership Meeting 2016,2016-02-29,2016-03-02,1088,1041,0.94301470588235294118
2016-02-29,EC65E892-A2F1-4566-A996-3A7546546DDB,Building Better Income Portfolios,2016-02-29,2016-03-02,384,48,0.12500000000000000000
2016-02-29,910F9981-A422-40D7-B18C-C3A550FF81F2,CIO Roundtable 2016,2016-03-02,2016-03-02,58,26,0.41379310344827586207
2016-02-29,5660DBDB-B5D7-428F-9BC0-EA0E2C694ACF,Digifest 2016,2016-03-02,2016-03-02,1262,457,0.36053882725832012678
2016-02-29,C217D7E0-4753-489F-86CD-7247A3EF8BFE,Group Leaders Virtual Summit,2016-03-02,2016-03-02,124,76,0.61290322580645161290
2016-02-29,A0260829-ED43-4A89-BF2D-3BD7D8BD27EB,Houston CIO Executive Leadership Summit,2016-03-02,2016-03-02,179,31,0.17318435754189944134
2016-02-29,DB0782FC-566F-42F9-95FB-03B20A3485F9,Intel HR Summit,2016-02-29,2016-03-02,141,133,0.92907801418439716312
2016-02-29,611F9EF0-A2F6-4317-9615-5FEBA3AC8959,Investment Days,2016-02-29,2016-03-02,549,424,0.77231329690346083789
2016-02-29,8E125383-F0B8-4149-B34F-A5F6B481B00A,iShares Connect 2016,2016-02-29,2016-03-01,288,171,0.59027777777777777778
2016-02-29,712B7012-B3FA-48AB-B934-F1D471A52E83,Jump Start 2/29/16,2016-02-29,2016-02-29,61,43,0.70491803278688524590
2016-02-29,F5CEF987-CA41-4499-8CAA-07448AA7F0C6,New Work Summit,2016-02-29,2016-03-01,206,153,0.73300970873786407767
2016-02-29,C06C6492-408E-4DCC-92C7-D84527CD9145,Women In Insurance,2016-03-02,2016-03-02,48,26,0.52083333333333333333
